p,n,x0,x1,y0,y1,xm,ym
332,7757,208855.45375000034,247548.1968977256,202787.36641626788,247863.17712919653,226588.454866733,222841.5886516404
333,5097,198987.63697306748,238192.55560247076,226916.68318815157,264370.9197682429,213893.04905000003,245521.90009433537
334,5932,185448.11346459427,216738.3643809841,248262.78085055173,288575.8402833538,199017.25158313065,270227.45044448593
335,5651,181931.63175825545,204098.17931441806,204354.14674999937,253311.9683690844,193432.16834876043,230692.36563582608
336,5081,170107.1121618236,188731.7070875226,205771.9289145865,241722.06971060246,178893.34144744356,226891.0040004902
337,9413,132089.33468780827,175543.383581041,189757.38411489179,240825.9706306011,156511.50579343847,220002.69367802926
338,8329,142115.62066421757,186602.6392234107,229676.37311893541,261041.84433268715,162879.90650000004,241819.6518345103
339,7524,131614.0880466362,158700.31222875544,243350.75555103988,285146.4601769798,150960.62757193076,260240.51526855142
340,5138,142932.60113972556,169946.35001341102,264570.61716669693,292641.75203067774,157117.74484158703,277640.73042277904
341,5450,136560.4853349715,165892.6264045364,285355.7488859842,314854.15386934,152259.66022915312,298089.050714366
342,6631,162427.6049777198,192879.8675834181,288680.2050848658,318973.60701729124,180046.86544805445,299782.7770114374
343,3022,165751.40194114513,195114.39323834275,188539.85790000018,205380.2246899492,176728.07617865008,193163.1170439232
344,4420,117352.85501471971,142959.70719596883,196489.13241091336,221290.54353178374,132267.3653395605,209031.3276592006
345,2769,101867.46354602312,142715.64294540204,218040.8625446295,282882.5737850741,121602.79820874537,251878.21483686002
350,9818,405684.06927651673,432506.03642634634,363387.0517935067,390564.4593998517,416333.7783703441,379475.2400819112
351,9754,208844.138451805,419414.7272858849,382177.34122949315,513739.24362504424,412395.78389818995,389799.43263569917
352,16902,378805.9149088028,427489.353516179,340917.6431472885,388268.55282117723,400780.9199845682,363031.6880417903
353,9181,280936.36417091324,317211.4368671934,362157.20184429444,406381.8092295022,301307.0548424431,392436.5118179425
354,12239,328200.17641427944,378790.0001612132,412682.0771219756,469178.1016290259,354060.56387350266,442376.5836245563
355,13348,302213.91650308185,340623.37541269953,386455.3636884123,418047.30027729046,323281.78766197024,394890.6589058265
356,5875,328249.0812244853,355242.2979510754,457049.07802341715,496125.77681834996,343896.9945137482,470742.4268239032
357,7742,354256.935292645,392768.13714183355,362297.36286386586,399239.4965643146,374525.102320266,377673.1497883458
358,9153,271492.607643272,319964.23297136603,405505.70129328687,451216.92063739424,303187.3725673312,425398.3408630807
359,7755,278754.1222431776,321679.9045209283,436846.7418500008,475009.17058260716,305955.1885542529,449585.92739832797
360,10485,354441.76463685266,376879.7092994469,347123.96045667824,377862.0031499993,362278.91614999995,360822.89032208314
361,3810,327792.40486509935,370446.82988229376,381525.37959946715,414383.3541961248,344443.3464345515,399241.2899308689
362,6420,316203.2556214017,370381.0760440123,401646.2582814859,437583.684151928,347826.19124019705,418560.5732934399
363,3764,367481.8535536351,402240.0623598554,399290.8062050324,445039.3646327679,383632.6023375557,419945.7149905744
364,2757,377852.98876276566,404922.6144803534,435085.40078795515,477665.74779044767,390335.6573429898,453766.55484726705
365,4915,392618.40752547,419463.19955,410343.2979651067,453712.94741100445,413262.92632652255,429735.4296539667
366,4068,340172.6305483681,385016.0589147124,331642.99520850746,362110.1357733457,357588.74839695427,341692.9035384329
367,3630,306057.1354913427,333306.2249784526,336320.3768670439,361771.24312732986,317609.8957783794,349689.10551908513
368,5729,295557.60400205344,325988.64608179877,354763.6370272252,384021.060059606,315434.0661460055,369916.6713959623
369,7482,317144.9477401146,347130.3218806475,367378.88491946587,393012.2711050848,327402.58257343795,379654.5243926425
370,6478,312941.6927267385,342188.8166,431816.4559993186,472697.3501548801,328882.284480786,449946.3458922379
371,4048,346335.7792592308,392164.22373498033,463422.5334664603,500285.9791857675,366315.4492271126,480194.38148925325
372,5573,385818.26327771717,421244.1397179487,452215.9716456776,507729.7869516765,413454.3125832894,484643.16757189727
373,335,536419.2389650242,546249.9883073207,546912.1944911045,557037.8459532212,541313.6150727454,551316.7799404429
381,14064,280904.4440396737,323336.0666455508,275869.8448000001,305561.4681075688,300963.2504014849,287917.999349144
383,4129,319061.34256117,340518.1645272069,241198.9093865506,264548.3358056336,329639.8573547709,252549.55502591393
