a_LINK_ID,b_LINK_ID,a_T_NODE,theta,nx,ny,target
2840086101,2840086301,2840052203,109.21496561470684,242910.9293717574,451415.54383107316,청주 내덕동
2840079801,2840081901,2840062401,90.13210891725201,243605.9278738435,451318.72871232714,청주 내덕동
2840081801,2840079801,2840062402,90.1026460193364,243609.20892475746,451306.10101036157,청주 내덕동
2840082800,2840083700,2840050103,94.12902773840199,242774.2414017857,451388.92942778574,청주 내덕동
2840079800,2840081800,2840062402,93.14285110997919,243609.20892475746,451306.10101036157,청주 내덕동
2840097701,2840097402,2840058104,130.07973658770277,243251.72241388488,451662.521862577,청주 내덕동
2840095601,2840097501,2840058102,90.05495551999647,243281.63770409068,451669.24228725693,청주 내덕동
2840097500,2840097600,2840058102,132.14684985855348,243281.63770409068,451669.24228725693,청주 내덕동
2840083201,2840076802,2840052201,108.44882120610968,242932.2688536114,451415.80066255666,청주 내덕동
2840085101,2840088501,2840051103,110.18357234620845,242850.9387191679,451456.67188093223,청주 내덕동
2840073201,2840079100,2840049501,94.67960194917535,242729.36445197352,451280.7762649968,청주 내덕동
2840079001,2840073300,2840049503,90.12537566892368,242726.1945557701,451263.3008133987,청주 내덕동
2840076810,2840086000,2840052201,108.02383588778024,242932.2688536114,451415.80066255666,청주 내덕동
2840014803,2840069700,2840054003,90.56976568029295,243039.47392101996,450823.2249343341,청주 내덕동
2840073301,2840073001,2840053303,90.47650534968862,243012.0937734684,450860.64277071453,청주 내덕동
