정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
DJB8001273,노은역,36.374744,127.318085,2025-10-31,42360,25,대전광역시,대전BIS
DJB8001275,녹원아파트,36.346066,127.38176,2025-10-31,32260,25,대전광역시,대전BIS
DJB8001276,구농도원,36.31997,127.3776,2025-10-31,30660,25,대전광역시,대전BIS
DJB8001277,구농도원,36.320915,127.378,2025-10-31,30670,25,대전광역시,대전BIS
DJB8001278,구농도원네거리,36.31752,127.37843,2025-10-31,30690,25,대전광역시,대전BIS
DJB8001279,구농도원네거리,36.317562,127.37806,2025-10-31,30680,25,대전광역시,대전BIS
DJB8001280,농산물유통센터,36.28847,127.380196,2025-10-31,22470,25,대전광역시,대전BIS
DJB8001281,농산물유통센터,36.28877,127.38014,2025-10-31,22460,25,대전광역시,대전BIS
DJB8001282,장대네거리,36.36545,127.335724,2025-10-31,42070,25,대전광역시,대전BIS
DJB8001283,북부여성가족원,36.431534,127.38721,2025-10-31,44840,25,대전광역시,대전BIS
DJB8001284,북부여성가족원,36.429676,127.38679,2025-10-31,44850,25,대전광역시,대전BIS
DJB8001285,대광로제비앙아파트,36.44269,127.38441,2025-10-31,46770,25,대전광역시,대전BIS
DJB8001286,대광로제비앙아파트,36.44248,127.38485,2025-10-31,46780,25,대전광역시,대전BIS
DJB8001287,누리아파트,36.35968,127.371956,2025-10-31,32860,25,대전광역시,대전BIS
DJB8001288,누리아파트후문,36.35917,127.374146,2025-10-31,32880,25,대전광역시,대전BIS
