시군구,조각,유형,번호,이름,거리(m),반경안,집계기간,일수,일평균 승차,일평균 하차,일평균 승하차,평일 일평균 승하차,시간대 해상도,평일 최대시간대,평일 최대시간대 승하차,결합키,출처,비고
대덕구,동춘당로31번길,버스정류장,DJB8001958,서오아파트,179.7,N,2026-07-01~07-31,31,32.4,47.1,79.5,87.9,일(시간대 없음),,,정류장번호 숫자부 8001958,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
대덕구,동춘당로31번길,도시철도역사,104,대전,3097.1,N,2026-07-01~07-31,31,11948.8,11345.4,23294.2,23214.7,1시간,18-19시,2027.6,역번호 104→1104,공공데이터포털 15060591 (2026-07-31 갱신),
서구,도솔로175번길,버스정류장,DJB8001257,변동근린공원,54.2,Y,2026-07-01~07-31,31,33.2,120.7,153.9,181.5,일(시간대 없음),,,정류장번호 숫자부 8001257,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,도솔로175번길,도시철도역사,109,용문,2223.7,N,2026-07-01~07-31,31,7251.6,7335.8,14587.4,15595.9,1시간,08-09시,1794.8,역번호 109→1109,공공데이터포털 15060591 (2026-07-31 갱신),
서구,변정1길,버스정류장,DJB8001734,변동시장,68.2,Y,2026-07-01~07-31,31,40.3,12.1,52.4,57.0,일(시간대 없음),,,정류장번호 숫자부 8001734,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,변정1길,도시철도역사,109,용문,1917.6,N,2026-07-01~07-31,31,7251.6,7335.8,14587.4,15595.9,1시간,08-09시,1794.8,역번호 109→1109,공공데이터포털 15060591 (2026-07-31 갱신),
서구,변정7길,버스정류장,DJB8002966,향우네거리,133.6,N,2026-07-01~07-31,31,497.7,247.5,745.3,823.1,일(시간대 없음),,,정류장번호 숫자부 8002966,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
서구,변정7길,도시철도역사,109,용문,2112.2,N,2026-07-01~07-31,31,7251.6,7335.8,14587.4,15595.9,1시간,08-09시,1794.8,역번호 109→1109,공공데이터포털 15060591 (2026-07-31 갱신),
중구,당디로124번길,버스정류장,DJB8001953,서부종합시장,140.7,N,2026-07-01~07-31,31,32.3,90.4,122.7,134.0,일(시간대 없음),,,정류장번호 숫자부 8001953,tportal.daejeon.go.kr 정류장승하차이용정보 API (2026-09-18 조회),
중구,당디로124번길,도시철도역사,108,오룡,1859.4,N,2026-07-01~07-31,31,3903.7,3455.9,7359.6,8341.2,1시간,08-09시,1353.6,역번호 108→1108,공공데이터포털 15060591 (2026-07-31 갱신),
